Names,Pune Warriors,Delhi Daredevils,Sunrisers Hyderabad,Rising Pune Supergiants,Kochi Tuskers Kerala,Mumbai Indians,Kolkata Knight Riders,Royal Challengers Bangalore,Chennai Super Kings,Rajasthan Royals,Deccan Chargers,Gujarat Lions,Kings XI Punjab
RR Raje,0,7,0,0,0,0,0,0,0,1,12,0,0
S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0
SJ Srivastava,1,0,0,0,0,4,0,0,0,0,0,0,0
F du Plessis,101,100,82,0,0,206,92,205,0,148,81,69,203
MB Parmar,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,42,31,8,3,2,79,0,82,57,81,0,69,45
P Parameswaran,0,0,0,0,0,0,0,1,0,0,0,0,0
TM Head,0,0,0,6,0,37,0,0,0,0,0,0,11
KM Jadhav,25,9,153,0,0,39,69,164,84,80,0,0,3
KP Appanna,0,1,0,0,0,0,0,0,0,0,1,0,0
M Kaif,8,28,0,0,0,16,70,4,36,22,51,0,24
Mashrafe Mortaza,0,0,0,0,0,0,0,0,0,0,2,0,0
SA Abbott,0,0,14,0,0,0,1,0,0,0,0,0,0
N Saini,0,15,0,0,0,47,0,64,7,2,5,0,0
MM Patel,1,24,0,0,0,0,9,0,0,0,5,0,0
RV Gomez,26,4,0,0,0,0,11,7,0,0,0,0,2
KV Sharma,7,35,0,0,0,17,56,27,64,16,1,0,45
JE Taylor,0,0,0,0,0,0,0,0,3,0,0,0,0
DE Bollinger,0,16,0,0,0,3,0,0,0,0,2,0,0
F Behardien,0,0,0,5,0,0,0,9,0,0,0,0,0
KA Pollard,55,215,208,1,0,0,174,364,378,257,70,10,227
SK Trivedi,0,17,0,0,0,6,4,3,2,0,10,0,0
TM Srivastava,0,7,0,0,0,0,1,0,0,0,0,0,0
S Aravind,0,0,0,0,0,0,0,0,0,14,2,0,11
S Randiv,0,0,0,0,0,2,0,0,0,0,0,0,0
R Sathish,0,28,33,10,0,0,32,81,17,29,3,0,37
LMP Simmons,0,50,167,8,0,0,26,127,281,112,0,0,171
S Badrinath,199,185,0,0,32,321,103,115,0,154,87,0,245
AA Chavan,0,7,0,0,1,4,0,0,0,0,0,0,0
Y Gnaneswara Rao,0,0,0,0,0,0,0,0,19,0,0,0,0
J Arunkumar,0,0,0,0,0,0,22,0,0,0,0,0,1
NM Coulter-Nile,0,0,0,2,0,3,9,4,5,6,0,0,9
Y Venugopal Rao,31,66,0,0,41,164,151,145,132,113,24,0,118
JM Kemp,0,4,0,0,0,0,0,0,0,0,22,0,0
UBT Chand,17,14,22,0,0,2,37,117,16,50,0,0,25
CK Langeveldt,0,0,0,0,0,0,0,0,0,0,0,0,8
Sandeep Sharma,0,1,1,0,0,0,3,12,1,0,0,1,0
AS Rajpoot,0,0,0,0,0,2,0,0,0,0,0,0,0
DJ Thornely,0,30,0,0,0,0,1,0,0,0,8,0,0
NV Ojha,30,108,0,25,13,87,232,184,277,72,105,19,322
BJ Haddin,0,0,0,0,0,0,0,18,0,0,0,0,0
SK Warne,0,31,0,0,2,8,34,7,33,0,44,0,39
Karanveer Singh,0,0,0,0,0,0,1,4,2,5,0,0,0
MV Boucher,0,79,0,0,5,105,95,1,37,10,21,0,41
DJ Jacobs,0,1,0,0,12,0,0,22,0,15,32,0,10
M Muralitharan,0,3,0,0,0,0,0,4,0,11,1,0,1
DB Ravi Teja,34,38,0,0,8,55,64,15,40,41,0,0,80
GS Sandhu,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Asnodkar,0,55,0,0,0,56,69,50,137,0,44,0,12
AD Mascarenhas,5,12,5,0,0,9,36,0,8,0,0,0,4
J Yadav,0,0,0,1,0,0,0,5,0,0,0,0,0
Z Khan,0,4,1,0,0,3,20,23,39,18,4,0,1
OA Shah,4,2,0,0,0,135,78,73,60,19,98,0,37
NS Naik,0,0,22,0,0,1,0,0,0,0,0,0,0
CR Brathwaite,0,0,10,20,0,0,40,1,0,0,0,0,12
DH Yagnik,12,0,0,0,0,81,26,7,25,0,9,0,10
Mohammad Ashraful,0,2,0,0,0,0,0,0,0,0,0,0,0
SS Tiwary,140,148,35,0,26,136,156,142,102,146,88,1,104
MS Gony,0,19,0,0,0,0,42,4,4,6,15,0,9
X Thalaivan Sargunam,0,0,0,0,0,0,0,0,10,0,0,0,0
B Chipli,39,33,0,0,4,18,60,61,35,6,10,0,14
VS Malik,0,0,0,0,0,6,0,0,0,0,0,0,1
MJ Guptill,0,48,2,0,0,0,0,0,0,0,0,7,0
Umar Gul,0,0,0,0,0,0,0,6,0,9,0,0,24
