Names,Sawai Mansingh Stadium,Himachal Pradesh Cricket Association Stadium,Nehru Stadium,OUTsurance Oval,"MA Chidambaram Stadium, Chepauk",De Beers Diamond Oval,Wankhede Stadium,Barabati Stadium,Subrata Roy Sahara Stadium,M Chinnaswamy Stadium,Saurashtra Cricket Association Stadium,"Rajiv Gandhi International Stadium, Uppal",SuperSport Park,Eden Gardens,Holkar Cricket Stadium,Sheikh Zayed Stadium,New Wanderers Stadium,Maharashtra Cricket Association Stadium,Brabourne Stadium,Feroz Shah Kotla,Dr DY Patil Sports Academy,"Sardar Patel Stadium, Motera",JSCA International Stadium Complex,Kingsmead,"Punjab Cricket Association IS Bindra Stadium, Mohali",Green Park,St George's Park,"Vidarbha Cricket Association Stadium, Jamtha",Dubai International Cricket Stadium,Sharjah Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Punjab Cricket Association Stadium, Mohali",Newlands,Shaheed Veer Narayan Singh International Stadium,Buffalo Park
RR Raje,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S Kaushik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJ Srivastava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
F du Plessis,0,0,0,0,410,0,130,52,43,87,69,63,0,57,0,24,0,6,35,15,0,1,78,0,67,0,0,0,27,0,39,55,0,29,0
MB Parmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,0,0,0,0,11,0,68,9,43,16,0,0,0,239,0,32,0,3,13,0,0,21,0,0,11,3,0,0,30,0,0,0,0,0,0
P Parameswaran,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM Head,0,0,0,0,0,0,37,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
KM Jadhav,28,0,0,0,23,0,24,0,0,133,0,28,0,27,0,0,0,3,11,224,0,3,0,0,0,0,0,0,0,14,19,0,0,89,0
KP Appanna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
M Kaif,56,15,0,0,24,0,12,0,0,44,0,34,0,34,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Mashrafe Mortaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Saini,0,1,0,0,6,0,30,0,0,50,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
MM Patel,0,0,0,23,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0
RV Gomez,0,0,1,0,0,0,0,0,4,7,0,0,0,10,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KV Sharma,6,0,0,0,4,0,2,0,7,27,0,80,0,50,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,27,19,23,1,16,0
JE Taylor,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE Bollinger,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
F Behardien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0
KA Pollard,30,22,0,0,66,0,831,10,0,133,0,20,0,159,0,6,0,0,148,98,89,84,0,0,10,9,0,0,93,33,65,53,0,0,0
SK Trivedi,0,0,0,6,0,1,6,0,0,3,0,0,2,4,0,0,0,0,0,10,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0
TM Srivastava,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
S Aravind,0,11,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Randiv,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R Sathish,19,22,0,0,22,0,0,0,0,12,0,0,0,11,0,0,0,10,73,14,3,0,0,0,0,0,0,0,0,0,0,84,0,0,0
LMP Simmons,0,0,0,0,38,0,334,12,0,59,0,116,0,68,0,0,0,0,67,15,0,62,0,0,0,0,0,0,0,0,0,171,0,0,0
S Badrinath,15,53,19,0,438,59,159,0,34,78,0,0,29,103,0,0,46,0,55,37,120,25,0,21,0,0,22,6,0,0,25,97,0,0,0
