Names,Pune Warriors,Delhi Daredevils,Sunrisers Hyderabad,Rising Pune Supergiants,Kochi Tuskers Kerala,Mumbai Indians,Kolkata Knight Riders,Royal Challengers Bangalore,Chennai Super Kings,Rajasthan Royals,Deccan Chargers,Gujarat Lions,Kings XI Punjab
RR Raje,0,0,0,0,0,0,2,0,0,3,1,0,0
S Kaushik,0,1,2,0,0,0,0,0,0,0,0,0,3
SJ Srivastava,2,2,0,0,1,2,2,3,0,1,1,0,0
F du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,0
MB Parmar,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,4,2,4,2,3,10,0,3,3,9,0,1,2
P Parameswaran,0,5,0,0,0,0,0,0,0,2,2,0,0
TM Head,0,0,0,0,0,0,0,0,0,0,0,0,0
KM Jadhav,0,0,0,0,0,0,0,0,0,0,0,0,0
KP Appanna,1,2,0,0,0,0,1,0,0,4,0,0,1
M Kaif,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,0,0,0,0,0,0,0,0,0,0,0,0,0
N Saini,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Patel,7,10,0,0,0,2,11,10,9,6,7,0,11
RV Gomez,0,0,0,0,0,1,2,1,1,0,0,0,0
KV Sharma,1,4,0,0,0,4,9,5,3,6,0,0,4
JE Taylor,0,0,0,0,0,2,0,1,3,0,0,0,0
DE Bollinger,6,3,0,0,2,5,2,5,0,6,8,0,0
F Behardien,0,0,0,0,0,0,0,0,0,0,0,0,0
KA Pollard,3,5,1,0,0,0,3,10,12,10,7,0,5
SK Trivedi,3,5,2,0,3,7,9,9,4,0,12,0,11
TM Srivastava,0,0,0,0,0,0,0,0,0,0,0,0,0
S Aravind,1,3,2,0,2,4,6,0,6,5,0,1,10
S Randiv,0,0,0,0,0,1,1,2,0,1,0,0,1
R Sathish,0,0,0,1,0,0,1,0,0,1,0,0,0
LMP Simmons,0,0,0,0,0,0,1,0,0,0,0,0,0
S Badrinath,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Chavan,0,2,0,0,0,1,3,0,0,0,0,0,2
Y Gnaneswara Rao,0,0,0,0,0,0,0,0,0,0,0,0,0
J Arunkumar,0,0,0,0,0,0,0,0,0,0,0,0,0
NM Coulter-Nile,0,0,5,0,0,3,3,0,3,1,0,0,5
Y Venugopal Rao,0,0,0,0,0,2,0,0,1,2,0,0,1
JM Kemp,0,0,0,0,0,0,3,0,0,0,0,0,0
UBT Chand,0,0,0,0,0,0,0,0,0,0,0,0,0
CK Langeveldt,0,2,0,0,0,0,2,1,0,4,2,0,2
Sandeep Sharma,0,9,8,3,0,8,7,12,3,2,0,2,0
AS Rajpoot,0,0,1,1,0,1,0,0,0,0,0,1,0
DJ Thornely,0,1,0,0,0,0,2,0,0,0,0,0,0
NV Ojha,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ Haddin,0,0,0,0,0,0,0,0,0,0,0,0,0
SK Warne,1,8,0,0,3,7,4,8,7,0,12,0,7
Karanveer Singh,0,2,0,0,0,1,7,0,0,2,0,0,0
MV Boucher,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0
M Muralitharan,3,9,2,0,0,8,6,9,4,6,7,0,10
DB Ravi Teja,0,0,0,0,0,0,0,1,0,0,0,0,0
GS Sandhu,0,0,0,0,0,0,0,0,1,0,0,0,0
SA Asnodkar,0,0,0,0,0,0,0,0,0,0,0,0,0
AD Mascarenhas,6,6,0,0,0,2,2,3,0,0,0,0,0
J Yadav,0,0,2,0,0,0,0,0,1,0,0,0,1
Z Khan,3,6,3,0,2,7,17,7,16,5,12,1,13
OA Shah,0,0,0,0,0,0,0,0,0,0,0,0,0
NS Naik,0,0,0,0,0,0,0,0,0,0,0,0,0
CR Brathwaite,0,0,2,0,0,0,3,2,0,0,0,0,0
DH Yagnik,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Ashraful,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Tiwary,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Gony,2,3,2,0,1,4,4,12,0,2,2,0,5
X Thalaivan Sargunam,0,0,0,0,0,0,0,0,0,0,0,0,0
B Chipli,0,0,0,0,0,0,0,0,0,0,0,0,0
VS Malik,0,0,2,0,0,1,1,0,0,0,1,0,1
MJ Guptill,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Gul,0,0,0,0,0,0,0,0,0,5,1,0,6
RR Rossouw,0,0,0,0,0,0,0,0,0,0,0,0,0
WD Parnell,0,1,0,0,3,3,7,0,1,5,3,0,3
Swapnil Singh,0,0,0,0,0,0,0,0,0,0,0,0,0
M Morkel,4,4,9,0,4,12,6,9,3,4,4,1,17
RJ Peterson,0,3,0,0,0,0,0,0,0,0,0,0,0
JJ van der Wath,0,0,0,0,0,0,0,0,2,0,1,0,0
S Gopal,0,1,0,0,0,0,0,0,0,4,0,0,2
Salman Butt,0,0,0,0,0,0,0,0,0,0,0,0,0
R Shukla,0,1,1,0,0,0,2,1,0,0,0,0,0
LA Pomersbach,0,0,0,0,0,0,0,0,0,0,0,0,0
JJ Bumrah,0,4,0,3,0,0,1,9,0,1,0,3,5
CH Gayle,4,3,0,0,1,1,0,0,3,1,1,0,4
YK Pathan,4,1,0,0,4,0,3,3,9,3,7,0,6
B Laughlin,0,0,0,0,0,1,0,0,0,0,0,0,0
C Ganapathy,0,0,0,0,0,0,0,0,0,0,0,0,0
PR Shah,0,0,0,0,0,0,0,0,0,0,0,0,0
A Mukund,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Carseldine,0,0,0,0,0,0,0,1,0,0,0,0,0
M Ashwin,0,0,0,0,0,1,1,0,0,0,0,2,3
PJ Sangwan,0,1,0,0,0,6,4,5,6,1,4,0,3
AA Bilakhia,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Noffke,0,0,0,0,0,0,1,0,0,0,0,0,0
JDP Oram,0,0,0,0,1,1,3,2,0,2,0,0,0
KD Karthik,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Bravo,5,12,12,2,1,26,14,9,5,10,7,0,19
DT Christian,4,4,0,0,0,1,1,1,3,1,0,0,4
N Rana,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ Harris,0,0,0,0,0,0,0,0,0,0,0,0,0
SB Joshi,0,0,0,0,0,0,0,0,0,1,0,0,0
AA Jhunjhunwala,0,0,0,0,0,0,0,0,1,0,0,0,0
D Salunkhe,0,0,0,0,0,0,0,0,0,0,0,0,1
BJ Hodge,2,0,0,0,0,2,0,3,2,4,3,0,1
L Ronchi,0,0,0,0,0,0,0,0,0,0,0,0,0
SMSM Senanayake,1,0,1,0,0,1,0,1,1,2,0,0,2
TP Sudhindra,0,0,0,0,0,0,0,0,1,0,0,0,0
KMDN Kulasekara,3,0,0,0,0,0,0,0,0,1,0,0,1
NJ Rimmington,0,0,0,0,0,0,0,0,0,0,0,0,0
KK Nair,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,0,0,1,0,1
S Ladda,0,0,0,0,0,2,0,0,0,1,1,0,1
AL Menaria,0,0,0,0,0,2,1,0,0,0,0,0,0
VS Yeligati,0,0,0,0,0,0,0,0,0,0,0,0,0
A Chopra,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ Maddinson,0,0,0,0,0,0,0,0,0,0,0,0,0
MS Wade,0,0,0,0,0,0,0,0,0,0,0,0,0
CJ McKay,0,0,0,0,0,0,0,0,0,0,0,0,1
Yuvraj Singh,0,6,1,0,0,6,1,3,2,6,9,0,1
DJ Muthuswami,0,0,0,0,0,1,2,0,1,0,0,0,0
RV Uthappa,0,0,0,0,0,0,0,0,0,0,0,0,0
Shivam Sharma,0,0,1,0,0,0,0,2,0,1,0,0,0
Anureet Singh,0,2,1,0,0,3,2,2,1,6,0,0,0
YV Takawale,0,0,0,0,0,0,0,0,0,0,0,0,0
SS Iyer,0,0,0,0,0,0,0,0,0,0,0,0,0
SW Billings,0,0,0,0,0,0,0,0,0,0,0,0,0
NLTC Perera,5,4,1,0,0,0,4,5,4,3,1,2,2
P Prasanth,0,0,0,0,0,0,0,0,0,0,0,0,0
S Dhawan,1,2,0,0,0,0,0,0,0,0,0,0,1
AB Barath,0,0,0,0,0,0,0,0,0,0,0,0,0
