Names,Sawai Mansingh Stadium,Himachal Pradesh Cricket Association Stadium,Nehru Stadium,OUTsurance Oval,"MA Chidambaram Stadium, Chepauk",De Beers Diamond Oval,Wankhede Stadium,Barabati Stadium,Subrata Roy Sahara Stadium,M Chinnaswamy Stadium,Saurashtra Cricket Association Stadium,"Rajiv Gandhi International Stadium, Uppal",SuperSport Park,Eden Gardens,Holkar Cricket Stadium,Sheikh Zayed Stadium,New Wanderers Stadium,Maharashtra Cricket Association Stadium,Brabourne Stadium,Feroz Shah Kotla,Dr DY Patil Sports Academy,"Sardar Patel Stadium, Motera",JSCA International Stadium Complex,Kingsmead,"Punjab Cricket Association IS Bindra Stadium, Mohali",Green Park,St George's Park,"Vidarbha Cricket Association Stadium, Jamtha",Dubai International Cricket Stadium,Sharjah Cricket Stadium,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Punjab Cricket Association Stadium, Mohali",Newlands,Shaheed Veer Narayan Singh International Stadium,Buffalo Park
RR Raje,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Kaushik,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJ Srivastava,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
F du Plessis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB Parmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakib Al Hasan,2,0,0,0,1,0,6,1,3,2,0,2,0,17,0,2,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
P Parameswaran,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TM Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KM Jadhav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP Appanna,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
M Kaif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashrafe Mortaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA Abbott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N Saini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM Patel,8,0,0,2,6,0,22,0,1,3,0,1,5,3,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,4,6,5,0,0
RV Gomez,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KV Sharma,0,0,0,0,0,0,3,0,1,4,0,10,0,7,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,1,1,1,0,2,0
JE Taylor,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE Bollinger,3,0,1,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0
F Behardien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KA Pollard,3,1,0,0,6,0,20,0,0,7,0,2,0,4,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0
SK Trivedi,36,0,0,0,1,2,1,0,0,5,0,6,0,2,0,0,0,0,0,1,0,1,0,3,0,0,1,3,0,0,0,3,0,0,0
TM Srivastava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Aravind,3,0,0,0,4,0,2,0,0,22,0,0,0,4,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
S Randiv,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R Sathish,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LMP Simmons,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S Badrinath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA Chavan,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y Gnaneswara Rao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J Arunkumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM Coulter-Nile,0,1,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0
Y Venugopal Rao,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
JM Kemp,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBT Chand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CK Langeveldt,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Sandeep Sharma,0,5,0,0,0,0,4,1,0,6,1,2,0,0,0,3,0,6,0,4,0,1,0,0,8,0,0,0,3,1,3,6,0,0,0
