Names,2008,2009,2010,2011,2012,2013,2014,2015,2016
Z Khan,34,8,24,21,12,0,8,0,6
TG Southee,0,0,0,0,0,0,4,13,30
KH Pandya,0,0,0,0,0,0,0,0,237
DW Steyn,2,0,13,36,19,53,22,20,1
VR Aaron,0,0,0,0,1,0,35,6,0
DH Yagnik,0,0,0,16,25,125,4,0,0
T Shamsi,0,0,0,0,0,0,0,0,0
DR Smith,45,215,22,0,157,418,566,399,324
SE Marsh,616,0,147,504,336,300,70,93,159
Sunny Singh,0,0,0,43,0,0,0,0,0
Y Gnaneswara Rao,0,0,0,19,0,0,0,0,0
RV Gomez,0,0,0,46,0,4,0,0,0
H Das,2,0,0,0,0,0,0,0,0
RW Price,0,0,0,0,0,0,0,0,0
CA Lynn,0,0,0,0,6,0,58,0,25
R Dhawan,0,0,0,0,0,21,82,36,14
GS Sandhu,0,0,0,0,0,0,0,0,0
RR Pant,0,0,0,0,0,0,0,0,198
LR Shukla,163,83,36,14,75,3,31,0,0
MG Johnson,0,0,0,0,0,39,56,31,5
RR Powar,28,23,5,11,0,0,0,0,0
GD McGrath,4,0,0,0,0,0,0,0,0
KC Cariappa,0,0,0,0,0,0,0,0,13
PM Sarvesh Kumar,1,0,0,0,0,0,0,0,0
M Kaif,176,0,28,41,14,0,0,0,0
VRV Singh,4,0,0,0,0,0,0,0,0
GC Smith,441,212,44,42,0,0,0,0,0
DP Nannes,0,0,4,0,0,0,0,0,0
A Mishra,37,26,39,68,16,89,4,8,4
YS Chahal,0,0,0,0,0,0,1,1,0
DS Lehmann,18,0,0,0,0,0,0,0,0
DJ Hooda,0,0,0,0,0,0,0,151,144
R Shukla,0,0,0,0,0,1,18,0,0
SA Abbott,0,0,0,0,0,0,0,15,0
PR Shah,34,53,0,5,0,0,0,0,0
B Kumar,0,0,0,1,40,52,1,17,43
M Ashwin,0,0,0,0,0,0,0,0,0
M Vijay,0,60,458,434,336,312,207,251,453
MJ Clarke,0,0,0,0,98,0,0,0,0
CRD Fernando,2,0,2,0,0,0,0,0,0
SK Trivedi,5,9,20,0,5,3,0,0,0
S Ladda,0,0,0,0,0,0,0,0,0
AJ Finch,0,0,21,47,55,456,309,23,393
RR Bhatkal,0,0,0,0,0,0,0,0,0
WD Parnell,0,0,0,37,19,5,2,0,0
BCJ Cutting,0,0,0,0,0,0,8,0,65
AC Gilchrist,436,495,289,383,172,294,0,0,0
P Prasanth,0,0,0,0,0,0,0,0,0
S Dhawan,340,40,191,400,569,311,377,353,501
UBT Chand,0,0,0,2,36,158,2,102,0
Kuldeep Yadav,0,0,0,0,0,0,0,0,0
Azhar Mahmood,0,0,0,0,186,196,0,6,0
R Ashwin,0,8,30,2,18,35,45,52,41
D Salunkhe,33,0,0,0,0,0,0,0,0
NV Ojha,0,168,377,160,255,9,232,137,136
