Names,2008,2009,2010,2011,2012,2013,2014,2015,2016
Z Khan,13,6,15,14,17,5,5,7,10
TG Southee,0,0,0,4,0,0,0,6,9
KH Pandya,0,0,0,0,0,0,0,0,6
DW Steyn,10,2,15,14,17,19,11,3,0
VR Aaron,0,0,0,2,8,0,16,3,2
DH Yagnik,0,0,0,0,0,0,0,0,0
T Shamsi,0,0,0,0,0,0,0,0,3
DR Smith,5,1,1,0,2,2,4,1,8
SE Marsh,0,0,0,0,0,0,0,0,0
Sunny Singh,0,0,0,0,0,0,0,0,0
Y Gnaneswara Rao,0,0,0,0,0,0,0,0,0
RV Gomez,0,0,0,5,0,0,0,0,0
H Das,0,0,0,0,0,0,0,0,0
RW Price,0,0,0,0,0,0,0,0,0
CA Lynn,0,0,0,0,0,0,0,0,0
R Dhawan,0,0,0,0,0,2,13,1,2
GS Sandhu,0,0,0,0,0,0,0,1,0
RR Pant,0,0,0,0,0,0,0,0,0
LR Shukla,6,3,3,0,1,1,1,0,0
MG Johnson,0,0,0,0,0,24,17,10,2
RR Powar,3,5,3,2,0,0,0,0,0
GD McGrath,12,0,0,0,0,0,0,0,0
KC Cariappa,0,0,0,0,0,0,0,1,3
PM Sarvesh Kumar,1,0,0,0,0,0,0,0,0
M Kaif,0,0,0,0,0,0,0,0,0
VRV Singh,11,1,0,0,0,0,0,0,0
GC Smith,0,0,0,0,0,0,0,0,0
DP Nannes,0,15,7,2,0,4,0,0,0
A Mishra,11,14,17,19,13,21,7,9,13
YS Chahal,0,0,0,0,0,0,12,23,21
DS Lehmann,0,0,0,0,0,0,0,0,0
DJ Hooda,0,0,0,0,0,0,0,1,3
R Shukla,0,0,0,0,0,3,2,0,0
SA Abbott,0,0,0,0,0,0,0,0,0
PR Shah,0,0,0,0,0,0,0,0,0
B Kumar,0,0,0,3,8,13,20,18,23
M Ashwin,0,0,0,0,0,0,0,0,7
M Vijay,0,0,0,0,0,0,0,0,0
MJ Clarke,0,0,0,0,2,0,0,0,0
CRD Fernando,10,0,7,0,0,0,0,0,0
SK Trivedi,13,6,11,10,13,12,0,0,0
S Ladda,0,0,4,0,0,1,0,0,0
AJ Finch,0,0,0,0,0,1,0,0,0
RR Bhatkal,0,0,0,0,0,0,0,0,0
WD Parnell,0,0,0,9,5,6,6,0,0
BCJ Cutting,0,0,0,0,0,0,1,0,5
AC Gilchrist,0,0,0,0,0,1,0,0,0
P Prasanth,0,0,0,0,0,0,0,0,0
S Dhawan,0,0,0,1,3,0,0,0,0
UBT Chand,0,0,0,0,0,0,0,0,0
Kuldeep Yadav,0,0,0,0,0,0,0,0,6
Azhar Mahmood,0,0,0,0,14,15,0,0,0
